class id name
AbstractHorse 16 flags
AbstractHorse 19 type
AbstractHorse 20 variant
AbstractHorse 21 owner_uuid
AbstractHorse 22 armor
AbstractMinecart 17 hurt
AbstractMinecart 18 hurtdir
AbstractMinecart 20 display_block
AbstractMinecart 21 display_offset
AbstractMinecart 22 custom_display
AgeableMob 12 baby
Entity 0 flags
Entity 1 air_supply
Entity 2 custom_name
Entity 3 custom_name_visible
Entity 4 silent
LivingEntity 6 health
LivingEntity 7 effect_color
LivingEntity 8 effect_ambience
LivingEntity 9 arrow_count
Mob 15 mob_flags
Projectile 16 flags
TamableAnimal 16 flags
TamableAnimal 17 owneruuid
minecraft:armor_stand 10 client_flags
minecraft:armor_stand 11 head_pose
minecraft:armor_stand 12 body_pose
minecraft:armor_stand 13 left_arm_pose
minecraft:armor_stand 14 right_arm_pose
minecraft:armor_stand 15 left_leg_pose
minecraft:armor_stand 16 right_leg_pose
minecraft:bat 16 flags
minecraft:blaze 16 flags
minecraft:boat 17 hurt
minecraft:boat 18 hurtdir
minecraft:boat 19 damage
minecraft:cat 18 variant
minecraft:command_block_minecart 23 command_name
minecraft:command_block_minecart 24 last_output
minecraft:creeper 16 swell_dir
minecraft:creeper 17 is_powered
minecraft:creeper 18 is_ignited
minecraft:end_crystal 8 crystal_health
minecraft:enderman 16 carry_state
minecraft:enderman 18 creepy
minecraft:firework_rocket 8 fireworks_item
minecraft:furnace_minecart 16 fuel
minecraft:ghast 16 is_charging
minecraft:guardian 16 flags
minecraft:guardian 17 attack_target
minecraft:iron_golem 16 flags
minecraft:item 10 item
minecraft:item_frame 8 item
minecraft:item_frame 9 rotation
minecraft:minecart 19 damage
minecraft:pig 16 saddle
minecraft:player 10 player_mode_customisation
minecraft:player 17 player_absorption
minecraft:player 18 score
minecraft:rabbit 18 type
minecraft:sheep 16 wool
minecraft:skeleton 13 type
minecraft:slime 16 size
minecraft:spider 16 flags
minecraft:villager 16 profession
minecraft:witch 21 using_item
minecraft:wither 17 target_a
minecraft:wither 18 target_b
minecraft:wither 19 target_c
minecraft:wither 20 inv
minecraft:wither_skull 10 dangerous
minecraft:wolf 18 health
minecraft:wolf 19 interested
minecraft:wolf 20 collar_color
minecraft:zombie 12 baby
minecraft:zombie 13 special_type
minecraft:zombie 14 converting
