id name oldName
0 ambient.cave
1 block.anvil.break
2 block.anvil.destroy
3 block.anvil.fall
4 block.anvil.hit
5 block.anvil.land
6 block.anvil.place
7 block.anvil.step
8 block.anvil.use
9 block.brewing_stand.brew
10 block.chest.close
11 block.chest.locked
12 block.chest.open
13 block.chorus_flower.death
14 block.chorus_flower.grow
15 block.wool.break
16 block.wool.fall
17 block.wool.hit
18 block.wool.place
19 block.wool.step
20 block.comparator.click
21 block.dispenser.dispense
22 block.dispenser.fail
23 block.dispenser.launch
24 block.enchantment_table.use
25 block.end_gateway.spawn
26 block.ender_chest.close
27 block.ender_chest.open
28 block.fence_gate.close
29 block.fence_gate.open
30 block.fire.ambient
31 block.fire.extinguish
32 block.furnace.fire_crackle
33 block.glass.break
34 block.glass.fall
35 block.glass.hit
36 block.glass.place
37 block.glass.step
38 block.grass.break
39 block.grass.fall
40 block.grass.hit
41 block.grass.place
42 block.grass.step
43 block.gravel.break
44 block.gravel.fall
45 block.gravel.hit
46 block.gravel.place
47 block.gravel.step
48 block.iron_door.close
49 block.iron_door.open
50 block.iron_trapdoor.close
51 block.iron_trapdoor.open
52 block.ladder.break
53 block.ladder.fall
54 block.ladder.hit
55 block.ladder.place
56 block.ladder.step
57 block.lava.ambient
58 block.lava.extinguish
59 block.lava.pop
60 block.lever.click
61 block.metal.break
62 block.metal.fall
63 block.metal.hit
64 block.metal.place
65 block.metal.step
66 block.metal_pressure_plate.click_off
67 block.metal_pressure_plate.click_on
68 block.note_block.basedrum
69 block.note_block.bass
70 block.note_block.harp
71 block.note_block.hat
72 block.note_block.pling
73 block.note_block.snare
74 block.piston.contract
75 block.piston.extend
76 block.portal.ambient
77 block.portal.travel
78 block.portal.trigger
79 block.redstone_torch.burnout
80 block.sand.break
81 block.sand.fall
82 block.sand.hit
83 block.sand.place
84 block.sand.step
85 block.shulker_box.close
86 block.shulker_box.open
87 block.slime_block.break
88 block.slime_block.fall
89 block.slime_block.hit
90 block.slime_block.place
91 block.slime_block.step
92 block.snow.break
93 block.snow.fall
94 block.snow.hit
95 block.snow.place
96 block.snow.step
97 block.stone.break
98 block.stone.fall
99 block.stone.hit
100 block.stone.place
101 block.stone.step
102 block.stone_button.click_off
103 block.stone_button.click_on
104 block.stone_pressure_plate.click_off
105 block.stone_pressure_plate.click_on
106 block.tripwire.attach
107 block.tripwire.click_off
108 block.tripwire.click_on
109 block.tripwire.detach
110 block.water.ambient
111 block.lily_pad.place
112 block.wood.break
113 block.wood.fall
114 block.wood.hit
115 block.wood.place
116 block.wood.step
117 block.wooden_button.click_off
118 block.wooden_button.click_on
119 block.wooden_pressure_plate.click_off
120 block.wooden_pressure_plate.click_on
121 block.wooden_door.close
122 block.wooden_door.open
123 block.wooden_trapdoor.close
124 block.wooden_trapdoor.open
125 enchant.thorns.hit
126 entity.armor_stand.break
127 entity.armor_stand.fall
128 entity.armor_stand.hit
129 entity.armor_stand.place
130 entity.arrow.hit
131 entity.arrow.hit_player
132 entity.arrow.shoot
133 entity.bat.ambient
134 entity.bat.death
135 entity.bat.hurt
136 entity.bat.loop
137 entity.bat.takeoff
138 entity.blaze.ambient
139 entity.blaze.burn
140 entity.blaze.death
141 entity.blaze.hurt
142 entity.blaze.shoot
143 entity.fishing_bobber.splash
144 entity.fishing_bobber.throw
145 entity.cat.ambient
146 entity.cat.death
147 entity.cat.hiss
148 entity.cat.hurt
149 entity.cat.purr
150 entity.cat.purreow
151 entity.chicken.ambient
152 entity.chicken.death
153 entity.chicken.egg
154 entity.chicken.hurt
155 entity.chicken.step
156 entity.cow.ambient
157 entity.cow.death
158 entity.cow.hurt
159 entity.cow.milk
160 entity.cow.step
161 entity.creeper.death
162 entity.creeper.hurt
163 entity.creeper.primed
164 entity.donkey.ambient
165 entity.donkey.angry
166 entity.donkey.chest
167 entity.donkey.death
168 entity.donkey.hurt
