class id name
AbstractArrow 7 flags
AbstractArrow 8 owner
AbstractArrow 9 pierce_level
AbstractChestedHorse 17 chest
AbstractFish 14 from_bucket
AbstractHorse 15 flags
AbstractHorse 16 owner_uuid
AbstractMinecart 7 hurt
AbstractMinecart 8 hurtdir
AbstractMinecart 9 damage
AbstractMinecart 10 display_block
AbstractMinecart 11 display_offset
AbstractMinecart 12 custom_display
AbstractVillager 15 unhappy_counter
AgeableMob 14 baby
Entity 0 shared_flags
Entity 1 air_supply
Entity 2 custom_name
Entity 3 custom_name_visible
Entity 4 silent
Entity 5 no_gravity
Entity 6 pose
Fireball 7 item_stack
LivingEntity 7 living_entity_flags
LivingEntity 8 health
LivingEntity 9 effect_color
LivingEntity 10 effect_ambience
LivingEntity 11 arrow_count
LivingEntity 12 sleeping_pos
Mob 13 mob_flags
Raider 14 is_celebrating
SpellcasterIllager 15 spell_casting
TamableAnimal 15 flags
TamableAnimal 16 owneruuid
ThrowableItemProjectile 7 item_stack
minecraft:area_effect_cloud 7 radius
minecraft:area_effect_cloud 8 color
minecraft:area_effect_cloud 9 waiting
minecraft:area_effect_cloud 10 particle
minecraft:armor_stand 13 client_flags
minecraft:armor_stand 14 head_pose
minecraft:armor_stand 15 body_pose
minecraft:armor_stand 16 left_arm_pose
minecraft:armor_stand 17 right_arm_pose
minecraft:armor_stand 18 left_leg_pose
minecraft:armor_stand 19 right_leg_pose
minecraft:arrow 10 effect_color
minecraft:bat 14 flags
minecraft:blaze 14 flags
minecraft:boat 7 hurt
minecraft:boat 8 hurtdir
minecraft:boat 9 damage
minecraft:boat 10 type
minecraft:boat 11 paddle_left
minecraft:boat 12 paddle_right
minecraft:boat 13 bubble_time
minecraft:cat 17 variant
minecraft:cat 18 is_lying
minecraft:cat 19 relax_state_one
minecraft:cat 20 collar_color
minecraft:command_block_minecart 13 command_name
minecraft:command_block_minecart 14 last_output
minecraft:creeper 14 swell_dir
minecraft:creeper 15 is_powered
minecraft:creeper 16 is_ignited
minecraft:dolphin 14 treasure_pos
minecraft:dolphin 15 got_fish
minecraft:dolphin 16 moistness_level
minecraft:end_crystal 7 beam_target
minecraft:end_crystal 8 show_bottom
minecraft:ender_dragon 14 phase
minecraft:enderman 14 carry_state
minecraft:enderman 15 creepy
minecraft:eye_of_ender 7 item_stack
minecraft:falling_block 7 start_pos
minecraft:firework_rocket 7 fireworks_item
minecraft:firework_rocket 8 attached_to_target
minecraft:firework_rocket 9 shot_at_angle
minecraft:fishing_bobber 7 hooked_entity
minecraft:fishing_bobber 8 biting
minecraft:fox 15 type
minecraft:fox 16 flags
minecraft:fox 17 trusted_0
minecraft:fox 18 trusted_1
minecraft:furnace_minecart 13 fuel
minecraft:ghast 14 is_charging
minecraft:guardian 14 moving
minecraft:guardian 15 attack_target
minecraft:horse 17 type_variant
minecraft:iron_golem 14 flags
minecraft:item 7 item
minecraft:item_frame 7 item
minecraft:item_frame 8 rotation
minecraft:llama 18 strength
minecraft:llama 19 swag
minecraft:llama 20 variant
minecraft:mooshroom 15 type
minecraft:ocelot 15 trusting
minecraft:painting 7 painting_variant
minecraft:panda 15 unhappy_counter
minecraft:panda 16 sneeze_counter
minecraft:panda 17 eat_counter
minecraft:panda 18 main_gene
minecraft:panda 19 hidden_gene
minecraft:panda 20 flags
minecraft:parrot 17 variant
minecraft:phantom 14 size
minecraft:pig 15 saddle
minecraft:pig 16 boost_time
minecraft:pillager 15 is_charging_crossbow
minecraft:player 13 player_absorption
minecraft:player 14 score
minecraft:player 15 player_mode_customisation
minecraft:player 16 player_main_hand
minecraft:player 17 shoulder_left
minecraft:player 18 shoulder_right
minecraft:polar_bear 15 standing
minecraft:pufferfish 15 puff_state
minecraft:rabbit 15 type
minecraft:sheep 15 wool
minecraft:shulker 14 attach_pos
minecraft:shulker 15 attach_face
minecraft:shulker 16 peek
minecraft:shulker 17 color
minecraft:skeleton 14 stray_conversion
minecraft:slime 14 size
minecraft:snow_golem 14 pumpkin
minecraft:spider 14 flags
minecraft:tnt 7 fuse
minecraft:trident 10 loyalty
minecraft:tropical_fish 15 type_variant
minecraft:turtle 15 home_pos
minecraft:turtle 16 has_egg
minecraft:turtle 17 laying_egg
minecraft:turtle 18 travel_pos
minecraft:turtle 19 going_home
minecraft:turtle 20 travelling
minecraft:vex 14 flags
minecraft:villager 16 villager
minecraft:witch 15 using_item
minecraft:wither 14 target_a
minecraft:wither 15 target_b
minecraft:wither 16 target_c
minecraft:wither 17 inv
minecraft:wither_skull 7 dangerous
minecraft:wolf 18 health
minecraft:wolf 18 interested
minecraft:wolf 19 collar_color
minecraft:zombie 14 baby
minecraft:zombie 15 special_type
minecraft:zombie 16 drowned_conversion
minecraft:zombie_villager 17 converting
minecraft:zombie_villager 18 villager
