class id name
AbstractArrow 5 flags
AbstractArrow 6 owner
AbstractHorse 12 flags
AbstractHorse 13 type
AbstractHorse 14 variant
AbstractHorse 15 owner_uuid
AbstractHorse 16 armor
AbstractMinecart 5 hurt
AbstractMinecart 6 hurtdir
AbstractMinecart 7 damage
AbstractMinecart 8 display_block
AbstractMinecart 9 display_offset
AbstractMinecart 10 custom_display
AbstractSkeleton 11 aggressive
AgeableMob 11 baby
Entity 0 shared_flags
Entity 1 air_supply
Entity 2 custom_name
Entity 3 custom_name_visible
Entity 4 silent
Fireball 5 item_stack
LivingEntity 5 living_entity_flags
LivingEntity 6 health
LivingEntity 7 effect_color
LivingEntity 8 effect_ambience
LivingEntity 9 arrow_count
Mob 10 mob_flags
Raider 11 is_celebrating
TamableAnimal 12 flags
TamableAnimal 13 owneruuid
ThrowableItemProjectile 5 item_stack
minecraft:area_effect_cloud 5 radius
minecraft:area_effect_cloud 6 color
minecraft:area_effect_cloud 7 waiting
minecraft:area_effect_cloud 8 particle
minecraft:armor_stand 10 client_flags
minecraft:armor_stand 11 head_pose
minecraft:armor_stand 12 body_pose
minecraft:armor_stand 13 left_arm_pose
minecraft:armor_stand 14 right_arm_pose
minecraft:armor_stand 15 left_leg_pose
minecraft:armor_stand 16 right_leg_pose
minecraft:arrow 7 effect_color
minecraft:bat 11 flags
minecraft:blaze 11 flags
minecraft:boat 5 hurt
minecraft:boat 6 hurtdir
minecraft:boat 7 damage
minecraft:boat 8 type
minecraft:boat 9 paddle_left
minecraft:boat 10 paddle_right
minecraft:cat 14 variant
minecraft:command_block_minecart 11 command_name
minecraft:command_block_minecart 12 last_output
minecraft:creeper 11 swell_dir
minecraft:creeper 12 is_powered
minecraft:creeper 13 is_ignited
minecraft:end_crystal 5 beam_target
minecraft:end_crystal 6 show_bottom
minecraft:ender_dragon 11 phase
minecraft:enderman 11 carry_state
minecraft:enderman 12 creepy
minecraft:falling_block 5 start_pos
minecraft:firework_rocket 5 fireworks_item
minecraft:fishing_bobber 5 hooked_entity
minecraft:fishing_bobber 6 biting
minecraft:furnace_minecart 11 fuel
minecraft:ghast 11 is_charging
minecraft:guardian 11 flags
minecraft:guardian 12 attack_target
minecraft:iron_golem 11 flags
minecraft:item 5 item
minecraft:item_frame 5 item
minecraft:item_frame 6 rotation
minecraft:painting 5 painting_variant
minecraft:pig 12 saddle
minecraft:player 10 player_absorption
minecraft:player 11 score
minecraft:player 12 player_mode_customisation
minecraft:player 13 player_main_hand
minecraft:rabbit 12 type
minecraft:sheep 12 wool
minecraft:shulker 11 attach_pos
minecraft:shulker 12 attach_face
minecraft:shulker 13 peek
minecraft:skeleton 12 type
minecraft:skeleton 13 stray_conversion
minecraft:slime 11 size
minecraft:snow_golem 11 pumpkin
minecraft:spider 11 flags
minecraft:tnt 5 fuse
minecraft:villager 12 villager
minecraft:witch 12 using_item
minecraft:wither 11 target_a
minecraft:wither 12 target_b
minecraft:wither 13 target_c
minecraft:wither 14 inv
minecraft:wither_skull 5 dangerous
minecraft:wolf 15 health
minecraft:wolf 15 interested
minecraft:wolf 16 collar_color
minecraft:zombie 11 baby
minecraft:zombie 12 special_type
minecraft:zombie 13 converting
minecraft:zombie 14 aggressive
